,book,author,price
72,การิน Blacx ปริศนาอาถรรพ์ สีดำ เล่ม 1 ตอน แมวของชโรดิงเจอร์ (Mg),อัยย์/Black Tohfu,152.10 บาท
73,"การิน ปริศนาคดีอาถรรพ์ คดีที่ 10 บทแรก : ""ตุง"" หนังมนุษย์ (Mg)",Black Tohfu P,76.50 บาท
74,"การิน ปริศนาคดีอาถรรพ์ คดีที่ 10 บทจบ : ""ตุง"" หนังมนุษย์ (Mg)",Black Tohfu P,76.50 บาท
75,"การิน ปริศนาคดีอาถรรพ์ คดีที่ 10 บทกลาง ""ตุง""หนังมนุษย์ (Mg)",Black Tohfu P,76.50 บาท
76,เส้นสายลายสยอง,ตรี อภิรุม,225.00 บาท
77,การิน ปริศนาคดีอาถรรพ์ คดีที่ 15 บทแรก จตุรอาถรรพ์สถาน (Mg),อัยย์,76.50 บาท
78,เพื่อนเดียวเสี่ยวฮัก,มาลา คำจันทร์,261.00 บาท
79,GARIN'S HORROR STORY : ปริศนาคดีสยอง (จบในฉบับ),"Arttblue,Kongkai",134.10 บาท
80,การิน ปริศนาคดีอาถรรพ์ คดีที่ 14 บทจบ : ฆาตกรรมสาปโซเชียล,อัยย์,67.50 บาท
81,การิน ปริศนาคดีอาถรรพ์ ภาค 2 ตอนที่ 10 ญาณอาถรรพ์,อัยย์,179.10 บาท
82,การิน ปริศนาคดีอาถรรพ์ คดี 8 บทจบ ผู้ตามล่าวิถีมรณะ (Mg),อัยย์,67.50 บาท
83,การิน ปริศนาคดีอาถรรพ์ คดี 8 บทแรก ผู้ตามล่าวิถีมรณะ (Mg),อัยย์,67.50 บาท
84,การิน ปริศนาคดีอาถรรพ์ คดีที่ 14 บทกลาง:ฆาตกรรมสาปโซเชืยล,อัยย์,67.50 บาท
85,ฉลาดเกมส์โกง BAD GENIUS,ร เรือในมหาสมุท,323.10 บาท
86,ลายราชสีห์ ชุด นักสืบสตรีศรีอโยธยา โดย พงศกร,พงศกร,315.00 บาท
87,การิน ปริศนาคดีอาถรรพ์ ภาค 2 ตอนที่ 9 มรณะทูตทวงกรรม (LN),อัยย์,179.10 บาท
88,การิน ปริศนาคดีอาถรรพ์ ภาคหัวใจสีดำ ตอนที่ 3 เกมเชื่อความตาย ออนไลน์มรณะ,อัยย์,206.10 บาท
89,หนึ่งนัด,ชัยกร หาญไฟฟ้า,68.00 บาท
90,ชีวะอำพราง,จัตวาลักษณ์,93.00 บาท
91,Cut &amp; Kill ฆ่า-ตัด-ตาย,เอพริล,148.50 บาท
92,Paradi(s)e วิมานเลือด,อันธการ,267.30 บาท
93,สาปสุบิน,ธีรภัทร์,288.00 บาท
94,วายะโลหิต,ธุวัฒธรรพ์,216.00 บาท
95,บ้านนี้...อยู่แล้วตาย!,ชวลักษณ์,225.00 บาท
96,DEADLY DOLL เกาะตุ๊กตาตาย,ภาคินัย,324.00 บาท
97,นรก 8 ขุม,รวมนักเขียน Sofa Publishing,283.50 บาท
98,นิทานมีศพ,รวมนักเขียน Sofa Publishing,251.10 บาท
99,Ghost Memories ผีที่รำลึก,ปองวุฒิ,216.00 บาท
100,หนังของผีรอบเที่ยงคืน,คำเธียร,233.10 บาท
101,ออฟฟิต จิต-หลอน-ตาย,ทักษ์,225.00 บาท
102,ฆาตศึกษา,ธุวัฒธรรพ์,251.10 บาท
103,นกก้อนหิน,บินหลา สันกาลาคีรี,315.00 บาท
104,นิทานของ น.ม.ส. พระนิพนธ์พระราชวรวงศ์เธอกรมหมื่นพิทยาลงกรณ์ ฉบับรวมเล่ม,กรมหมื่นพิทยาลงกรณ์,346.50 บาท
105,Bunraku ๔ FESTIVAL เทศกาลฆาตกรรม,ภาคินัย,342.00 บาท
106,กฎของการเคียดแค้น,รวมนักเขียน Sofa Publishing,267.30 บาท
107,กาลฑาหะ,ธุวัฒธรรพ์,211.50 บาท
108,ทำไม...เจอแต่ผีทุกที่เลย,ครูตู่,211.50 บาท
